NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:14:58 2026

Terramodel  Project: mc30.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 0.000 to End Ch 3285.163. Name:MC30

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     134,  1100.000,      0.000,         ,         ,   232680.002,  6276063.753, CH 1100.000           ,        ,
     135,  1110.000,     -0.000,         ,         ,   232688.407,  6276058.347, CH 1110.000           ,        ,
     136,  1120.000,      0.000,         ,         ,   232697.389,  6276053.964, CH 1120.000           ,        ,
     137,  1130.000,      0.000,         ,         ,   232706.824,  6276050.666, CH 1130.000           ,        ,
     138,  1134.766,      0.000,         ,         ,   232711.441,  6276049.490, CH 1134.766           ,        ,
     139,  1140.000,      0.000,         ,         ,   232716.548,  6276048.340, CH 1140.000           ,        ,
     140,  1150.000,      0.000,         ,         ,   232726.304,  6276046.144, CH 1150.000           ,        ,
     141,  1160.000,     -0.000,         ,         ,   232736.060,  6276043.948, CH 1160.000           ,        ,
     142,  1169.090,      0.000,         ,         ,   232744.928,  6276041.952, CH 1169.090           ,        ,
     143,  1170.000,      0.000,         ,         ,   232745.814,  6276041.745, CH 1170.000           ,        ,
     144,  1180.000,      0.000,         ,         ,   232755.265,  6276038.520, CH 1180.000           ,        ,
     145,  1190.000,     -0.000,         ,         ,   232763.977,  6276033.639, CH 1190.000           ,        ,
     146,  1194.517,      0.000,         ,         ,   232767.592,  6276030.933, CH 1194.517           ,        ,
     147,  1200.000,     -0.000,         ,         ,   232771.843,  6276027.469, CH 1200.000           ,        ,
     148,  1210.000,      0.000,         ,         ,   232779.595,  6276021.153, CH 1210.000           ,        ,
     149,  1220.000,      0.000,         ,         ,   232787.347,  6276014.836, CH 1220.000           ,        ,
     150,  1230.000,     -0.000,         ,         ,   232795.100,  6276008.519, CH 1230.000           ,        ,
     151,  1240.000,     -0.000,         ,         ,   232802.852,  6276002.202, CH 1240.000           ,        ,
     152,  1245.064,      0.000,         ,         ,   232806.778,  6275999.004, CH 1245.064           ,        ,
     153,  1250.000,      0.000,         ,         ,   232810.626,  6275995.913, CH 1250.000           ,        ,
     154,  1260.000,      0.000,         ,         ,   232818.555,  6275989.819, CH 1260.000           ,        ,
     155,  1270.000,      0.000,         ,         ,   232826.654,  6275983.954, CH 1270.000           ,        ,
     156,  1280.000,      0.000,         ,         ,   232834.917,  6275978.323, CH 1280.000           ,        ,
     157,  1290.000,      0.000,         ,         ,   232843.338,  6275972.930, CH 1290.000           ,        ,
