NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:05:53 2026

Terramodel  Project: mc10.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 5608.000 to End Ch 13848.485. Name:MC10

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     106,  6620.000,      0.000,         ,         ,   775866.180,  6286994.322, CH 6620.000           ,        ,
     107,  6630.000,     -0.000,         ,         ,   775857.102,  6286998.517, CH 6630.000           ,        ,
     108,  6640.000,      0.000,         ,         ,   775848.076,  6287002.822, CH 6640.000           ,        ,
     109,  6648.257,      0.000,         ,         ,   775840.643,  6287006.417, CH 6648.257           ,        ,
     110,  6650.000,      0.000,         ,         ,   775839.075,  6287007.177, CH 6650.000           ,        ,
     111,  6660.000,      0.000,         ,         ,   775830.075,  6287011.537, CH 6660.000           ,        ,
     112,  6670.000,     -0.000,         ,         ,   775821.076,  6287015.898, CH 6670.000           ,        ,
     113,  6672.747,      0.000,         ,         ,   775818.604,  6287017.096, CH 6672.747           ,        ,
     114,  6680.000,     -0.000,         ,         ,   775812.075,  6287020.254, CH 6680.000           ,        ,
     115,  6690.000,     -0.000,         ,         ,   775803.047,  6287024.554, CH 6690.000           ,        ,
     116,  6700.000,      0.000,         ,         ,   775793.958,  6287028.725, CH 6700.000           ,        ,
     117,  6710.000,     -0.000,         ,         ,   775784.777,  6287032.688, CH 6710.000           ,        ,
     118,  6720.000,      0.000,         ,         ,   775775.478,  6287036.364, CH 6720.000           ,        ,
     119,  6722.747,     -0.000,         ,         ,   775772.900,  6287037.313, CH 6722.747           ,        ,
     120,  6730.000,      0.000,         ,         ,   775766.043,  6287039.677, CH 6730.000           ,        ,
     121,  6740.000,      0.000,         ,         ,   775756.479,  6287042.593, CH 6740.000           ,        ,
     122,  6750.000,      0.000,         ,         ,   775746.801,  6287045.109, CH 6750.000           ,        ,
     123,  6760.000,     -0.000,         ,         ,   775737.027,  6287047.219, CH 6760.000           ,        ,
     124,  6770.000,      0.000,         ,         ,   775727.174,  6287048.921, CH 6770.000           ,        ,
     125,  6780.000,      0.000,         ,         ,   775717.258,  6287050.210, CH 6780.000           ,        ,
     126,  6790.000,      0.000,         ,         ,   775707.297,  6287051.085, CH 6790.000           ,        ,
     127,  6791.798,      0.000,         ,         ,   775705.503,  6287051.199, CH 6791.798           ,        ,
     128,  6800.000,      0.000,         ,         ,   775697.315,  6287051.685, CH 6800.000           ,        ,
     129,  6800.602,      0.000,         ,         ,   775696.714,  6287051.721, CH 6800.602           ,        ,
     130,  6810.000,      0.000,         ,         ,   775687.351,  6287052.523, CH 6810.000           ,        ,
     131,  6820.000,     -0.000,         ,         ,   775677.450,  6287053.911, CH 6820.000           ,        ,
     132,  6827.419,     -0.000,         ,         ,   775670.161,  6287055.295, CH 6827.419           ,        ,
