NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:27:46 2026

Terramodel  Project: mc80.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch -35.352 to End Ch 4872.028. Name:MC80

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     257,  2310.000,      0.000,         ,         ,   241854.630,  6277589.463, CH 2310.000           ,        ,
     258,  2320.000,      0.000,         ,         ,   241861.965,  6277582.674, CH 2320.000           ,        ,
     259,  2330.000,      0.000,         ,         ,   241868.451,  6277575.071, CH 2330.000           ,        ,
     260,  2340.000,      0.000,         ,         ,   241874.001,  6277566.759, CH 2340.000           ,        ,
     261,  2347.446,      0.000,         ,         ,   241877.479,  6277560.178, CH 2347.446           ,        ,
     262,  2350.000,      0.000,         ,         ,   241878.572,  6277557.870, CH 2350.000           ,        ,
     263,  2360.000,      0.000,         ,         ,   241882.852,  6277548.832, CH 2360.000           ,        ,
     264,  2370.000,     -0.000,         ,         ,   241887.132,  6277539.794, CH 2370.000           ,        ,
     265,  2380.000,     -0.000,         ,         ,   241891.412,  6277530.756, CH 2380.000           ,        ,
     266,  2390.000,      0.000,         ,         ,   241895.692,  6277521.719, CH 2390.000           ,        ,
     267,  2400.000,      0.000,         ,         ,   241899.972,  6277512.681, CH 2400.000           ,        ,
     268,  2410.000,      0.000,         ,         ,   241904.252,  6277503.643, CH 2410.000           ,        ,
     269,  2420.000,     -0.000,         ,         ,   241908.532,  6277494.605, CH 2420.000           ,        ,
     270,  2430.000,     -0.000,         ,         ,   241912.812,  6277485.568, CH 2430.000           ,        ,
     271,  2440.000,      0.000,         ,         ,   241917.092,  6277476.530, CH 2440.000           ,        ,
     272,  2450.000,      0.000,         ,         ,   241921.372,  6277467.492, CH 2450.000           ,        ,
     273,  2460.000,     -0.000,         ,         ,   241925.652,  6277458.454, CH 2460.000           ,        ,
     274,  2470.000,     -0.000,         ,         ,   241929.932,  6277449.416, CH 2470.000           ,        ,
     275,  2480.000,      0.000,         ,         ,   241934.212,  6277440.379, CH 2480.000           ,        ,
     276,  2490.000,      0.000,         ,         ,   241938.492,  6277431.341, CH 2490.000           ,        ,
     277,  2500.000,     -0.000,         ,         ,   241942.772,  6277422.303, CH 2500.000           ,        ,
     278,  2510.000,     -0.000,         ,         ,   241947.052,  6277413.265, CH 2510.000           ,        ,
     279,  2520.000,      0.000,         ,         ,   241951.332,  6277404.228, CH 2520.000           ,        ,
     280,  2530.000,      0.000,         ,         ,   241955.612,  6277395.190, CH 2530.000           ,        ,
     281,  2540.000,      0.000,         ,         ,   241959.892,  6277386.152, CH 2540.000           ,        ,
     282,  2550.000,     -0.000,         ,         ,   241964.172,  6277377.114, CH 2550.000           ,        ,
     283,  2560.000,     -0.000,         ,         ,   241968.452,  6277368.076, CH 2560.000           ,        ,
     284,  2570.000,      0.000,         ,         ,   241972.732,  6277359.039, CH 2570.000           ,        ,
