NorthGroup Consulting
3A/32 Billabong Street
Stafford 4053
GC03 - Report Chainage, Offset, Elevation and Elev Diff from VAL
Thu Feb 05 10:36:06 2026

Terramodel  Project: mc90.pro
   
Hal Alignment Details:Pline Rec Number 393. Start Ch 2900.000 to End Ch 4420.000. Name:MC90

   Pt No,  Chainage,     Offset,     Elev,      Pt East,     Pt North, Name        ,Note    ,
     272,  3850.000,     -0.000,         ,         ,   229224.752,  6304624.503, CH 3850.000           ,        ,
     273,  3857.085,      0.000,         ,         ,   229225.667,  6304631.528, CH 3857.085           ,        ,
     274,  3860.000,     -0.000,         ,         ,   229226.047,  6304634.419, CH 3860.000           ,        ,
     275,  3870.000,      0.000,         ,         ,   229227.349,  6304644.334, CH 3870.000           ,        ,
     276,  3880.000,      0.000,         ,         ,   229228.651,  6304654.249, CH 3880.000           ,        ,
     277,  3890.000,     -0.000,         ,         ,   229229.954,  6304664.164, CH 3890.000           ,        ,
     278,  3900.000,     -0.000,         ,         ,   229231.256,  6304674.078, CH 3900.000           ,        ,
     279,  3910.000,      0.000,         ,         ,   229232.558,  6304683.993, CH 3910.000           ,        ,
     280,  3920.000,      0.000,         ,         ,   229233.861,  6304693.908, CH 3920.000           ,        ,
     281,  3930.000,     -0.000,         ,         ,   229235.163,  6304703.823, CH 3930.000           ,        ,
     282,  3940.000,     -0.000,         ,         ,   229236.465,  6304713.738, CH 3940.000           ,        ,
     283,  3950.000,      0.000,         ,         ,   229237.768,  6304723.653, CH 3950.000           ,        ,
     284,  3960.000,      0.000,         ,         ,   229239.070,  6304733.567, CH 3960.000           ,        ,
     285,  3970.000,      0.000,         ,         ,   229240.372,  6304743.482, CH 3970.000           ,        ,
     286,  3980.000,     -0.000,         ,         ,   229241.675,  6304753.397, CH 3980.000           ,        ,
     287,  3990.000,      0.000,         ,         ,   229242.977,  6304763.312, CH 3990.000           ,        ,
     288,  4000.000,      0.000,         ,         ,   229244.279,  6304773.227, CH 4000.000           ,        ,
     289,  4010.000,      0.000,         ,         ,   229245.582,  6304783.142, CH 4010.000           ,        ,
     290,  4020.000,     -0.000,         ,         ,   229246.884,  6304793.056, CH 4020.000           ,        ,
     291,  4030.000,      0.000,         ,         ,   229248.186,  6304802.971, CH 4030.000           ,        ,
     292,  4040.000,      0.000,         ,         ,   229249.489,  6304812.886, CH 4040.000           ,        ,
     293,  4050.000,      0.000,         ,         ,   229250.791,  6304822.801, CH 4050.000           ,        ,
     294,  4060.000,     -0.000,         ,         ,   229252.093,  6304832.716, CH 4060.000           ,        ,
     295,  4070.000,      0.000,         ,         ,   229253.396,  6304842.631, CH 4070.000           ,        ,
     296,  4080.000,      0.000,         ,         ,   229254.698,  6304852.545, CH 4080.000           ,        ,
     297,  4090.000,      0.000,         ,         ,   229256.000,  6304862.460, CH 4090.000           ,        ,
     298,  4100.000,     -0.000,         ,         ,   229257.303,  6304872.375, CH 4100.000           ,        ,
     299,  4110.000,     -0.000,         ,         ,   229258.605,  6304882.290, CH 4110.000           ,        ,
